Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes,Sentiment,Text
Catalogue Manager,Chennai,Full Time,Engineering Department,3 Aug 2023,2.0,2.0,2.0,3.0,4.0,1.0,2.0,"philips policies are awesome  employee friendly it allows employee to do their justice to given job
but the higher officials  managers are changing the culture of philips by following a english professor  treating like a students",philips as a organisation is good but the higher officials managers are stuffing their own thoughts  slavery kind of behaviour is there with them they need to follow philips policy towards employees,-1,"philips policies are awesome  employee friendly it allows employee to do their justice to given job
but the higher officials  managers are changing the culture of philips by following a english professor  treating like a students philips as a organisation is good but the higher officials managers are stuffing their own thoughts  slavery kind of behaviour is there with them they need to follow philips policy towards employees"
Senior Mechanical Engineer,Pune,Full Time,Engineering & Manufacturing Department,3 Aug 2023,4.0,5.0,5.0,4.0,4.0,4.0,4.0,good place to learn flexible leave policy unlimited sick leaves work life balance is good take ownership to deliver your at your own capabilities work time is strictly followed global exposure,complex process oriented structure,1,good place to learn flexible leave policy unlimited sick leaves work life balance is good take ownership to deliver your at your own capabilities work time is strictly followed global exposure complex process oriented structure
Software Engineer,"Pune, Maharashtra",Full Time,Engineering & Manufacturing Department,2 Aug 2023,1.0,4.0,1.0,4.0,1.0,3.0,1.0,culture  hybrid work policy good salary and benefits location,"full of people with half knowledge 
no clarity on the projects  tasks
no clarity where the organization is going 
layoffs till 2025 announced by ceo
management  hr department is poor",-1,"culture  hybrid work policy good salary and benefits location full of people with half knowledge 
no clarity on the projects  tasks
no clarity where the organization is going 
layoffs till 2025 announced by ceo
management  hr department is poor"
Deputy Manager,Chennai,Full Time,Finance Department,0 Jul 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,"very good place to work
and professionalism driven management","no dislike as in with philips 
its a great place to work
may be business support services could be better food transport",1,"very good place to work
and professionalism driven management no dislike as in with philips 
its a great place to work
may be business support services could be better food transport"
Design Quality Assurance,Pune,Full Time,Quality Assurance and Testing Department,8 Jul 2023,3.0,2.0,1.0,2.0,1.0,1.0,2.0,too many issues very turbulent hence lots of accountability and learning,"too many issues very turbulent hence people blame each other every there and now every day is firefighting
company culture is not good facilities are almost zero even no tissues
come here only to become firefighter",0,"too many issues very turbulent hence lots of accountability and learning too many issues very turbulent hence people blame each other every there and now every day is firefighting
company culture is not good facilities are almost zero even no tissues
come here only to become firefighter"
IT Information Security Lead,Bengaluru/Bangalore,Full Time,Banking Operations Department,4 Jul 2023,3.0,3.0,3.0,3.0,3.0,4.0,2.0,"philips is good company as overall but it depends on the management side how we get 
manager encourage here own people more then the remote workers",it depends how flexible and learning depending in the location visa and managers encourage on the previous company guys try to bring them back and form the old team and leave the remote workers idea and remove them one day so remote works always need to be in conduct with the reporting managers to safe your job maybe you are salientand think you job is safe but anytime it may change disaster for remote worksread more,0,"philips is good company as overall but it depends on the management side how we get 
manager encourage here own people more then the remote workers it depends how flexible and learning depending in the location visa and managers encourage on the previous company guys try to bring them back and form the old team and leave the remote workers idea and remove them one day so remote works always need to be in conduct with the reporting managers to safe your job maybe you are salientand think you job is safe but anytime it may change disaster for remote worksread more"
Marketing Manager   (working remotely),,Full Time,Marketing Department,7 Sep 2023,1.0,4.0,2.0,3.0,3.0,1.0,2.0,"work from home
policies are well structured
less of mico management from manager","convoluted decision making
senior management is not supportive
work culture is affected by work politics by senior management",-1,"work from home
policies are well structured
less of mico management from manager convoluted decision making
senior management is not supportive
work culture is affected by work politics by senior management"
Software Engineer 2,Bengaluru/Bangalore,Full Time,Health Informatics Department,5 Jun 2023,4.0,5.0,3.0,3.0,5.0,5.0,3.0,"work life balance is great
job security is unparalleled","hikes are nominal for most departments some exceptions are there
promotion hike is also average",1,"work life balance is great
job security is unparalleled hikes are nominal for most departments some exceptions are there
promotion hike is also average"
Area Sales Manager,"Indore, Madhya Pradesh",Full Time,Retail & B2C Sales Department,1 Jun 2023,1.0,3.0,1.0,3.0,1.0,3.0,1.0,philips products are world class,job security is a concernthey dont have control over online and mod channel business hence they infiltrate and impact the gt business,-1,philips products are world class job security is a concernthey dont have control over online and mod channel business hence they infiltrate and impact the gt business
Deputy Manager,Chennai,Full Time,Finance Department,9 Jun 2023,4.0,5.0,4.0,5.0,5.0,5.0,5.0,"salary and benefits
appraisal onsite insurance fitness allowance",manager casr feeling cost cutting by senior manager instated of onsite vertuval kt,1,"salary and benefits
appraisal onsite insurance fitness allowance manager casr feeling cost cutting by senior manager instated of onsite vertuval kt"
Accounting Specialist,Chennai,Full Time,Accounting & Taxation Department,4 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,great place to start career,no dislike,1,great place to start career no dislike
Senior Accounting Specialist,Chennai,Full Time,Finance Department,3 Sep 2023,4.0,5.0,3.0,3.0,4.0,4.0,2.0,work life balance employee benefits,appraisal growth promotion,1,work life balance employee benefits appraisal growth promotion
Product Owner,Bengaluru/Bangalore,Full Time,Technology / IT Department,3 Sep 2023,3.0,5.0,2.0,5.0,4.0,5.0,3.0,good pay and nice people,slow work in the fast pace world,0,good pay and nice people slow work in the fast pace world
Deputy Manager Grade 2,"Chennai, Tamil Nadu",Full Time,Finance Department,2 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,it us the gbs the working culture was excellent,currently it is charged like 3rd party bpo,1,it us the gbs the working culture was excellent currently it is charged like 3rd party bpo
Data Specialist Intern,Chennai,Intern,DBA / Data warehousing Department,1 Sep 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,"work life balance
and flexible working hours",nothing much i had a great experience,1,"work life balance
and flexible working hours nothing much i had a great experience"
Sales Executive,"Mumbai Suburban, Maharashtra",Full Time,Sales Department,1 Sep 2023,1.0,1.0,3.0,1.0,1.0,1.0,1.0,"nothing 
its depend on ur channel partner","first of all third party 
salary not on time 
sometimes 23 month late
company will not provide u leads",-1,"nothing 
its depend on ur channel partner first of all third party 
salary not on time 
sometimes 23 month late
company will not provide u leads"
"Khóa Cửa, Khóa điện Tử, Khóa Vân Tay, Công Nghệ, Nhà Cửa",Mumbai,Full Time,Events & Banquet Department,9 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nơi tin cậy để làm khoá,không có gì để chê,1,nơi tin cậy để làm khoá không có gì để chê
Manager Fp,Chennai,Full Time,Finance Department,8 Sep 2023,5.0,5.0,5.0,3.0,4.0,4.0,5.0,good balance of challenges learning and job satisfaction,experience varies largely based on teams and reporting managers,1,good balance of challenges learning and job satisfaction experience varies largely based on teams and reporting managers
Key Account Manager,Gurgaon/Gurugram,Full Time,Enterprise & B2B Sales Department,6 Sep 2023,1.0,1.0,4.0,4.0,1.0,1.0,3.0,product quality,no job security unstable environment top to bottom,-1,product quality no job security unstable environment top to bottom
Area Service Manager,"New Delhi, Delhi",Full Time,Enterprise & B2B Sales Department,4 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"i love this company
philips company is gud in market",company is verry nice,1,"i love this company
philips company is gud in market company is verry nice"
Area Sales Executive,Jhansi,Full Time,Other Hospital Staff Department,4 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,patanjali ayurved ltd,patanjali ayurved food,1,patanjali ayurved ltd patanjali ayurved food
Senior Architect,Bengaluru/Bangalore,Full Time,Software Development Department,1 Aug 2023,5.0,5.0,3.0,3.0,3.0,2.0,3.0,"work life balance
job satisfaction",culture,1,"work life balance
job satisfaction culture"
Service Innovation Manager,Pune,Full Time,Engineering & Manufacturing Department,1 Sep 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,culture,cost cutting initiatives impacting customers,1,culture cost cutting initiatives impacting customers
Senior Manager Finance,"Chennai, Tamil Nadu",Full Time,Other Department,9 Aug 2023,5.0,4.0,5.0,4.0,4.0,4.0,4.0,flexibility,some petty workplace politics although rare,1,flexibility some petty workplace politics although rare
Area Sales Manager,Chennai,Full Time,Retail & B2C Sales Department,4 Aug 2023,5.0,3.0,5.0,5.0,4.0,5.0,4.0,employee benefits and company culture,more power given to your immediate manager,1,employee benefits and company culture more power given to your immediate manager
Salesman,"Gurgaon/Gurugram, Haryana",Full Time,Sales Support & Operations Department,1 Aug 2023,4.0,4.0,3.0,4.0,3.0,3.0,3.0,hike may be given at any point,senior control  the things according to there way,1,hike may be given at any point senior control  the things according to there way
Software Technologist - I,Bengaluru/Bangalore,Full Time,Imaging & Diagnostics Department,1 Aug 2023,1.0,3.0,1.0,1.0,1.0,1.0,1.0,the likes are overshadowed by the biased management,toxic culture bad management managers are biased no recognition for the work done,-1,the likes are overshadowed by the biased management toxic culture bad management managers are biased no recognition for the work done
Senior Accounts Executive,Chennai,Full Time,Accounting & Taxation Department,1 Aug 2023,4.0,4.0,4.0,3.0,3.0,4.0,3.0,average company to work,salary not as per industry standards,1,average company to work salary not as per industry standards
Account Assistant,Chennai,Full Time,Accounting & Taxation Department,6 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,the company provides good place for a work life balance,incentive are less as compared to others,1,the company provides good place for a work life balance incentive are less as compared to others
Product Quality Engineer   (working remotely),,Full Time,Quality Department,3 Aug 2023,3.0,3.0,2.0,3.0,3.0,3.0,3.0,functions and culture,salary structure is complicated and bad,0,functions and culture salary structure is complicated and bad
Software Technologist 2,Bengaluru/Bangalore,Full Time,Software Development Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,very nice it was working ,nothing bad as such here,1,very nice it was working  nothing bad as such here
Sales,"Varanasi, Uttar Pradesh",Full Time,Marketing Department,2 Aug 2023,1.0,5.0,5.0,5.0,1.0,5.0,5.0,like philips light indias best light,dislike no dislike,-1,like philips light indias best light dislike no dislike
Architect,Bangalore/Bengaluru,Full Time,Health Informatics Department,0 Aug 2023,1.0,1.0,2.0,3.0,2.0,1.0,1.0,unlimited sick leaves,politics toxic work culture,-1,unlimited sick leaves politics toxic work culture
Senior Lead Engineer,Bangalore/Bengaluru,Full Time,Other Hospital Staff Department,1 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0,flexible work timing latest tech stack as well as development environment,nothing as such,1,flexible work timing latest tech stack as well as development environment nothing as such
Specialist 1- Data Engineering,Bangalore/Bengaluru,Full Time,Data Science & Machine Learning Department,9 Jul 2023,5.0,5.0,4.0,3.0,5.0,5.0,3.0,geeat work life balance and job security,,1,geeat work life balance and job security 
Software Designer,"Pune, Maharashtra",Full Time,Software Development Department,7 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,leave benefits medical policy salary,technology stack used for software development,1,leave benefits medical policy salary technology stack used for software development
Customer Care Executive,New Delhi,Full Time,Customer Success Department,5 Jul 2023,3.0,2.0,4.0,3.0,3.0,4.0,2.0,product knowledge was good,there are not giving promotion to his staff,0,product knowledge was good there are not giving promotion to his staff
Senior Project Manager,Chennai,Full Time,Product Management - Technology Department,4 Jul 2023,4.0,4.0,4.0,3.0,3.0,4.0,2.0,good work life balance brand name with multicultural exposure,no clear carrier progression growth visible,1,good work life balance brand name with multicultural exposure no clear carrier progression growth visible
Technical Specialist,Bangalore/Bengaluru,Full Time,Software Development Department,3 Jul 2023,4.0,5.0,4.0,3.0,4.0,4.0,3.0,european work culture and good work life balance,less pay,1,european work culture and good work life balance less pay
Global Regulatory Affairs Specialist,Chennai,Full Time,Corporate Affairs Department,3 Jul 2023,4.0,5.0,5.0,4.0,4.0,5.0,3.0,functional healthy environment at work place and global culture,things will not move fast even immediate escalation also,1,functional healthy environment at work place and global culture things will not move fast even immediate escalation also
Commercial Policy And Pricing Manager,"Gurgaon/Gurugram, Haryana",Full Time,Other Department,9 Jul 2023,1.0,2.0,1.0,3.0,1.0,1.0,2.0,wfh policy,lots of politics they expect you to close eyes when you come across anything wrong,-1,wfh policy lots of politics they expect you to close eyes when you come across anything wrong
General,Bengaluru/Bangalore,Full Time,Banking Operations Department,9 Jul 2023,5.0,5.0,4.0,5.0,3.0,5.0,3.0,excellent work environment,appreciated if there is more scope for learning new skills,1,excellent work environment appreciated if there is more scope for learning new skills
Deputy Manager,Chennai,Full Time,Business Intelligence & Analytics Department,7 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,overall the culture is positive and people are helpful good opportunities to learn as well,promotionappraisal takes time,1,overall the culture is positive and people are helpful good opportunities to learn as well promotionappraisal takes time
Trainee Engineer In Production,"Pune, Maharashtra",Full Time,Engineering Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,coulcher manager behavior,nothing is bad in philips,1,coulcher manager behavior nothing is bad in philips
General Manager,Chennai,Full Time,Finance Department,7 Jul 2023,5.0,5.0,5.0,5.0,4.0,5.0,3.0,training and work culture,"growth is missing
face the layoff challenge",1,"training and work culture growth is missing
face the layoff challenge"
Branch Activation Manager,Gurgaon/Gurugram,Full Time,Marketing Department,5 Jul 2023,3.0,2.0,1.0,1.0,1.0,1.0,1.0,nothing,lots of politics at mid management level thus impacting decisions taken bh higher management,0,nothing lots of politics at mid management level thus impacting decisions taken bh higher management
Manager,"Pune, Maharashtra",Full Time,Operations Department,5 Jul 2023,4.0,4.0,4.0,4.0,3.0,4.0,3.0,freedom to work,decision making process and complexity of the orgn structure,1,freedom to work decision making process and complexity of the orgn structure
Test Engineer,Pune,Full Time,Production Department,5 Jul 2023,4.0,3.0,4.0,4.0,5.0,4.0,3.0,culture is great,work and balance not good,1,culture is great work and balance not good
Accounting Specialist,Chennai,Full Time,Finance Department,7 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,3.0,culture and work life balance,nothing,1,culture and work life balance nothing
Software Developer,Bengaluru/Bangalore,Full Time,Software Development Department,3 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,2.0,is ti good company for in experience person and also good related to work life balance,only appraisal the growth is not more than 6 to 10  salary hike,1,is ti good company for in experience person and also good related to work life balance only appraisal the growth is not more than 6 to 10  salary hike
AI Research Engineer - Data Science,Bengaluru/Bangalore,Full Time,Data Science & Machine Learning Department,1 Jul 2023,4.0,5.0,3.0,3.0,2.0,4.0,3.0,good work life balance,no salary hike no respect to new employees,1,good work life balance no salary hike no respect to new employees
Senior Accounting Specialist,Chennai,Full Time,Accounting & Taxation Department,0 Jul 2023,4.0,4.0,3.0,3.0,4.0,3.0,2.0,work life balance  job security,promotion and appraisal lack of diversity,1,work life balance  job security promotion and appraisal lack of diversity
Senior Engineer,"Mohadi, Maharashtra",Full Time,Engineering Department,7 Jul 2023,4.0,5.0,5.0,5.0,4.0,5.0,4.0,every thing,closing the plant,1,every thing closing the plant
Automation Engineer,Bengaluru/Bangalore,Intern,Health Informatics Department,6 Jul 2023,3.0,4.0,1.0,2.0,1.0,1.0,2.0,work life balance  kt sessions,work pressure it will not convert as full time employee  even if you perform well,0,work life balance  kt sessions work pressure it will not convert as full time employee  even if you perform well
Business Analyst,Bengaluru/Bangalore,Full Time,Business Intelligence & Analytics Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,great company with work culture and benefits,nothing much,1,great company with work culture and benefits nothing much
Quality Engineer (Dy. Manager),Pune,Full Time,"Operations, Maintenance & Support Department",4 Jul 2023,1.0,1.0,1.0,2.0,1.0,1.0,1.0,nothing is likable all things are not good,everything  work culture people management,-1,nothing is likable all things are not good everything  work culture people management
Product Configuration Manager,Pune,Full Time,Engineering & Manufacturing Department,3 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,there is a lot to learn here and people are good in naturenetharland,nothing,1,there is a lot to learn here and people are good in naturenetharland nothing
Supplier Quality Assurance Engineer,"Pune, Maharashtra",Full Time,Quality Assurance Department,5 Jun 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"1 unlimited sick leaves
2 good work life balance
3 hybrid working model",nothing as such,1,"1 unlimited sick leaves
2 good work life balance
3 hybrid working model nothing as such"
Business Manager,"Mumbai, Maharashtra",Full Time,Sales Support & Operations Department,3 Jun 2023,2.0,3.0,1.0,2.0,1.0,1.0,2.0,work life balance,"no policy
leadership gap
no future growth
salary increment 
qulaity manpower 
no one cares about you",-1,"work life balance no policy
leadership gap
no future growth
salary increment 
qulaity manpower 
no one cares about you"
Research And Development Intern,Bengaluru/Bangalore,Intern,Research and Development  Department,2 Jun 2023,5.0,5.0,5.0,5.0,1.0,5.0,5.0,excellent people good work culture no torture good learning experience,job security zero for a fresher considering the recent recession times,1,excellent people good work culture no torture good learning experience job security zero for a fresher considering the recent recession times
Fp&a Manager,Gurgaon/Gurugram,Full Time,Finance Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,everything  people and process,nothing  all good,1,everything  people and process nothing  all good
Manager - Analytics & Reporting,Chennai,Full Time,Finance Department,7 Jun 2023,3.0,1.0,4.0,4.0,5.0,1.0,2.0,"1 philips  the parent company is too good 
2 culter perks and salary in parent company is best in class
3 lateral movements in parent company gives loads of scope for us to learn and grow","1 gbs has become a typcial indian company
2 poor leadership
3 work life balance  will be at stake if you are performing  
4 office politics at its best 
5 perks gets reduced every year 
6 promotions are managers discretion  performance and ratings are not related to it
7 hr rules and policies work for managers  
8 yoy growth  is good interms of managerial hirearchy",0,"1 philips  the parent company is too good 
2 culter perks and salary in parent company is best in class
3 lateral movements in parent company gives loads of scope for us to learn and grow 1 gbs has become a typcial indian company
2 poor leadership
3 work life balance  will be at stake if you are performing  
4 office politics at its best 
5 perks gets reduced every year 
6 promotions are managers discretion  performance and ratings are not related to it
7 hr rules and policies work for managers  
8 yoy growth  is good interms of managerial hirearchy"
